.START
..refdes	device	value	tolerance	comment	footprint	quantity
C1	CAPACITOR	1nF	2%	/	0805	1
C11	CAPACITOR	270pF	5%	unknown	1206	1
C13	CAPACITOR	270pF	5%	unknown	1206	1
C15	CAPACITOR	270pF	5%	unknown	1206	1
C17	CAPACITOR	270pF	5%	unknown	1206	1
C19	CAPACITOR	270pF	5%	unknown	1206	1
C2	CAPACITOR	1nF	2%	/	0805	1
C21	CAPACITOR	270pF	5%	unknown	1206	1
C23	CAPACITOR	270pF	5%	unknown	1206	1
C25	CAPACITOR	unknown	unknown	unknown	unknown	1
C26	CAPACITOR	unknown	unknown	unknown	unknown	1
C27	CAPACITOR	unknown	unknown	unknown	unknown	1
C28	CAPACITOR	unknown	unknown	unknown	unknown	1
C29	CAPACITOR	unknown	unknown	unknown	unknown	1
C3	CAPACITOR	1nF	2%	/	0805	1
C30	CAPACITOR	unknown	unknown	unknown	unknown	1
C31	CAPACITOR	unknown	unknown	unknown	unknown	1
C32	CAPACITOR	unknown	unknown	unknown	unknown	1
C33	CAPACITOR	unknown	unknown	unknown	unknown	1
C34	CAPACITOR	unknown	unknown	unknown	unknown	1
C35	CAPACITOR	unknown	unknown	unknown	unknown	1
C36	CAPACITOR	unknown	unknown	unknown	unknown	1
C37	POLARIZED_CAPACITOR	unknown	unknown	unknown	unknown	1
C38	POLARIZED_CAPACITOR	unknown	unknown	unknown	unknown	1
C39	POLARIZED_CAPACITOR	unknown	unknown	unknown	unknown	1
C4	CAPACITOR	1nF	2%	/	0805	1
C40	POLARIZED_CAPACITOR	unknown	unknown	unknown	unknown	1
C41	CAPACITOR	unknown	unknown	unknown	0805	1
C42	CAPACITOR	unknown	unknown	unknown	0805	1
C43	CAPACITOR	unknown	unknown	unknown	0805	1
C44	CAPACITOR	unknown	unknown	unknown	0805	1
C45	CAPACITOR	unknown	unknown	Res_0_if_asymm	0805	1
C46	CAPACITOR	unknown	unknown	Void_if_asymm	0805	1
C47	CAPACITOR	unknown	unknown	Res_0_if_asymm	0805	1
C48	CAPACITOR	unknown	unknown	Void_if_asymm	0805	1
C49	CAPACITOR	unknown	unknown	Res_0_if_asymm	0805	1
C5	CAPACITOR	1nF	2%	/	0805	1
C50	CAPACITOR	unknown	unknown	Void_if_asymm	0805	1
C51	CAPACITOR	unknown	unknown	Res_0_if_asymm	0805	1
C52	CAPACITOR	unknown	unknown	Void_if_asymm	0805	1
C53	CAPACITOR	unknown	unknown	unknown	0805	1
C54	CAPACITOR	unknown	unknown	unknown	0805	1
C55	CAPACITOR	unknown	unknown	unknown	0805	1
C56	CAPACITOR	unknown	unknown	unknown	0805	1
C57	CAPACITOR	unknown	unknown	unknown	unknown	1
C6	CAPACITOR	1nF	2%	/	0805	1
C7	CAPACITOR	1nF	2%	/	0805	1
C8	CAPACITOR	1nF	2%	/	0805	1
C9	CAPACITOR	270pF	5%	unknown	1206	1
CONN10	CONNECTOR_2	unknown	unknown	unknown	SIP2N	1
CONN11	CONNECTOR_2	unknown	unknown	unknown	SIP2N	1
CONN12	DB9	unknown	unknown	unknown	unknown	1
CONN7	CONNECTOR_4	unknown	unknown	unknown	SIP4N	1
CONN8	CONNECTOR_4	unknown	unknown	unknown	SIP4N	1
CONN9	CONNECTOR_4	unknown	unknown	unknown	SIP4N	1
D13	DIODE	unknown	unknown	unknown	unknown	1
D14	DIODE	unknown	unknown	unknown	unknown	1
D15	DIODE	unknown	unknown	unknown	unknown	1
D16	DIODE	unknown	unknown	unknown	unknown	1
D17	DIODE	unknown	unknown	unknown	unknown	1
D18	DIODE	unknown	unknown	unknown	unknown	1
D19	DIODE	unknown	unknown	unknown	unknown	1
D20	DIODE	unknown	unknown	unknown	unknown	1
D21	DIODE	unknown	unknown	unknown	unknown	1
D22	DIODE	unknown	unknown	unknown	unknown	1
D23	DIODE	unknown	unknown	unknown	unknown	1
D24	DIODE	unknown	unknown	unknown	unknown	1
D25	LED	C503B-	/	R	100mil	1
D26	LED	C503B-ACN	/	Amber	100mil	1
D27	LED	C503B-ACN	/	Amber	100mil	1
D28	LED	unknown	/	G	100mil	1
D29	LED	unknown	/	R	100mil	1
D30	LED	C503B-ACN	/	Amber	100mil	1
D31	LED	C503B-ACN	/	Amber	100mil	1
D32	LED	unknown	/	G	100mil	1
D33	LED	unknown	/	R?G?	100mil	1
D34	LED	C503B-ACN	/	Amber	100mil	1
D35	LED	C503B-ACN	/	Amber	100mil	1
D36	LED	unknown	/	R?G?	100mil	1
D37	LED	unknown	/	R?G?	100mil	1
D38	LED	C503B-ACN	/	Amber	100mil	1
D39	LED	C503B-ACN	/	Amber	100mil	1
D40	LED	unknown	/	R?G?	100mil	1
D41	DIODE	1N4148	/	/	SOT23	1
D42	DIODE	1N4148	/	/	SOT23	1
D43	DIODE	1N4148	/	/	SOT23	1
D44	DIODE	1N4148	/	/	SOT23	1
D45	DIODE	1N4148	/	/	SOT23	1
D46	DIODE	1N4148	/	/	SOT23	1
Q91	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q92	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q93	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q94	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q95	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q96	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q97	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q98	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
R1	RESISTOR	2.21	1%	Depends output level	2512	1
R10	RESISTOR	1G	30%	For Spice	2706	1
R100	RESISTOR	22.1K	2%	/	1206	1
R101	RESISTOR	unknown	unknown	unknown	unknown	1
R102	RESISTOR	unknown	unknown	unknown	unknown	1
R103	RESISTOR	unknown	unknown	unknown	unknown	1
R104	RESISTOR	unknown	unknown	unknown	unknown	1
R105	RESISTOR	unknown	unknown	unknown	unknown	1
R106	RESISTOR	unknown	unknown	unknown	unknown	1
R107	RESISTOR	unknown	unknown	unknown	unknown	1
R108	RESISTOR	unknown	unknown	unknown	unknown	1
R11	RESISTOR	2.21	1%	Depends output level	2512	1
R110	RESISTOR	unknown	unknown	unknown	1206	1
R111	RESISTOR	unknown	unknown	unknown	1206	1
R112	RESISTOR	unknown	unknown	unknown	1206	1
R113	RESISTOR	unknown	unknown	unknown	1206	1
R114	RESISTOR	unknown	unknown	unknown	0805	1
R115	RESISTOR	unknown	unknown	unknown	0805	1
R116	RESISTOR	unknown	unknown	unknown	0805	1
R117	RESISTOR	unknown	unknown	unknown	0805	1
R118	RESISTOR	unknown	unknown	unknown	0805	1
R119	RESISTOR	unknown	unknown	unknown	0805	1
R12	RESISTOR	6.19K	2%	/	1206	1
R120	RESISTOR	unknown	unknown	unknown	0805	1
R121	RESISTOR	unknown	unknown	unknown	0805	1
R122	RESISTOR	unknown	unknown	unknown	0805	1
R123	RESISTOR	unknown	unknown	unknown	0805	1
R124	RESISTOR	unknown	unknown	unknown	0805	1
R125	RESISTOR	unknown	unknown	unknown	0805	1
R126	RESISTOR	unknown	unknown	unknown	0805	1
R127	RESISTOR	unknown	unknown	unknown	0805	1
R128	RESISTOR	unknown	unknown	unknown	0805	1
R129	RESISTOR	unknown	unknown	unknown	0805	1
R13	RESISTOR	15.4K	2%	/	1206	1
R14	RESISTOR	1.5K	10%	/	1206	1
R145	RESISTOR	unknown	unknown	unknown	1206	1
R146	RESISTOR	unknown	unknown	unknown	1206	1
R147	RESISTOR	unknown	unknown	unknown	1206	1
R148	RESISTOR	unknown	unknown	unknown	1206	1
R15	RESISTOR	4.75K	2%	/	1206	1
R17	RESISTOR	100	2%	/	1206	1
R18	RESISTOR	22.1K	10%	/	1206	1
R19	RESISTOR	22.1K	10%	/	1206	1
R190	RESISTOR	475	2%	group 1 luminance	unknown	1
R191	RESISTOR	475	2%	group 1 luminance	unknown	1
R192	RESISTOR	475	2%	group 1 luminance	0805	1
R193	RESISTOR	475	2%	group 1 luminance	0805	1
R194	RESISTOR	475	2%	group 1 luminance	0805	1
R195	RESISTOR	475	2%	group 1 luminance	0805	1
R196	RESISTOR	475	2%	group 1 luminance	0805	1
R197	RESISTOR	475	2%	group 1 luminance	0805	1
R198	RESISTOR	475	2%	group 1 luminance	0805	1
R199	RESISTOR	475	2%	group 1 luminance	0805	1
R2	RESISTOR	6.19K	2%	/	1206	1
R20	RESISTOR	100	30%	For test	1206	1
R200	RESISTOR	475	2%	group 1 luminance	0805	1
R201	RESISTOR	475	2%	group 1 luminance	0805	1
R202	RESISTOR	475	2%	group 1 luminance	0805	1
R203	RESISTOR	475	2%	group 1 luminance	0805	1
R204	RESISTOR	475	2%	group 1 luminance	0805	1
R205	RESISTOR	475	2%	group 1 luminance	0805	1
R206	RESISTOR	475	2%	group 1 luminance	0805	1
R207	RESISTOR	475	2%	group 1 luminance	0805	1
R208	RESISTOR	475	2%	group 1 luminance	0805	1
R209	RESISTOR	475	2%	group 1 luminance	0805	1
R21	RESISTOR	2.21	1%	Depends output level	2512	1
R210	RESISTOR	475	2%	group 1 luminance	0805	1
R211	RESISTOR	475	2%	group 1 luminance	0805	1
R212	RESISTOR	475	2%	group 1 luminance	0805	1
R213	RESISTOR	475	2%	group 1 luminance	0805	1
R214	RESISTOR	475	2%	group 1 luminance	0805	1
R215	RESISTOR	475	2%	group 1 luminance	0805	1
