.START
..refdes	device	value	tolerance	comment	footprint	quantity
C10	CAPACITOR	22nF	20%	/	0805	1
C11	CAPACITOR	22nF	20%	/	0805	1
C12	CAPACITOR	22nF	20%	/	0805	1
C13	CAPACITOR	22nF	20%	/	0805	1
C14	CAPACITOR	22nF	20%	/	0805	1
C15	CAPACITOR	22nF	20%	/	0805	1
C16	CAPACITOR	22nF	20%	/	0805	1
C17	CAPACITOR	22nF	20%	/	0805	1
C18	CAPACITOR	22nF	20%	/	0805	1
C19	CAPACITOR	22nF	20%	/	0805	1
C2	CAPACITOR	470pF	10%	/	0805	1
C20	POLARIZED_CAPACITOR	22uF	20%	/	EIA6032	1
C201	POLARIZED_CAPACITOR	1uF	20%	50V tantale	EIA3216	1
C202	CAPACITOR	1nF	2%	/	0805	1
C203	CAPACITOR	1nF	2%	/	0805	1
C21	POLARIZED_CAPACITOR	22uF	20%	/	EIA6032	1
C22	CAPACITOR	22nF	20%	/	0805	1
C23	CAPACITOR	220nF	20%	/	0805	1
C24	CAPACITOR	22nF	20%	/	0805	1
C25	CAPACITOR	1uF	5%	/	0805	1
C26	CAPACITOR	100pF	2%	/	0805	1
C28	CAPACITOR	22nF	20%	/	0805	1
C29	CAPACITOR	22nF	20%	/	0805	1
C3	CAPACITOR	150nF	5%	/	0805	1
C30	CAPACITOR	1uF	20%	/	0805	1
C31	CAPACITOR	2.2uF	20%	/	0805	1
C32	CAPACITOR	2.2uF	20%	/	0805	1
C34	CAPACITOR	22nF	20%	/	0805	1
C35	CAPACITOR	22nF	20%	/	0805	1
C36	CAPACITOR	22nF	20%	/	0805	1
C37	CAPACITOR	22nF	20%	/	0805	1
C38	CAPACITOR	220nF	20%	/	0805	1
C39	CAPACITOR	220nF	20%	/	0805	1
C4	CAPACITOR	681pF	5%	/	0805	1
C40	CAPACITOR	220nF	20%	/	0805	1
C41	CAPACITOR	220nF	20%	/	0805	1
C42	CAPACITOR	220nF	20%	/	0805	1
C43	POLARIZED_CAPACITOR	47uF	20%	50V	EIA7343	1
C44	CAPACITOR	220nF	20%	/	0805	1
C45	CAPACITOR	100pF	5%	unknown	1206	1
C46	CAPACITOR	100pF	5%	unknown	1206	1
C6	CAPACITOR	470pF	5%	/	0805	1
C7	CAPACITOR	4.7uF	5%	MLCC 1206	1206	1
C8	CAPACITOR	470pF	5%	/	0805	1
C9	CAPACITOR	33pF	5%	/	0805	1
CONN10	CONNECTOR_2	unknown	unknown	unknown	unknown	1
CONN3	CONNECTOR_2	unknown	unknown	unknown	SIP2N	1
CONN4	CONNECTOR_3	unknown	/	unknown	unknown	1
CONN5	CONNECTOR_4	unknown	/	/	unknown	1
CONN7	CONNECTOR_4	unknown	unknown	unknown	SIP4N	1
CONN8	CONNECTOR_3	unknown	unknown	unknown	SIP3N	1
CONN9	CONNECTOR_1	unknown	unknown	unknown	SIP1N	1
D10	DIODE	MURS480ET3G	/	/	DO214	1
D11	DIODE	MURS480ET3G	/	/	DO214	1
D1_1	DIODE	BAT54AW	/	/	sot23	1
D1_2	DIODE	BAT54AW	/	/	sot23	1
D200	DIODE	BAT54AW	/	/	sot23	1
D201	DIODE	BAT54AW	/	/	sot23	1
D207	DIODE	1N4148	/	/	300mil	1
D208	DIODE	1N4148	/	/	300mil	1
D209	DIODE	1N4148	/	/	300mil	1
D210	DIODE	1N4148	/	/	300mil	1
D211	DIODE	BAT54AW	/	Only full FB	sot23	1
D212	DIODE	BAT54AW	/	Only full FB	sot23	1
D213	DIODE	BAT54AW	/	/	sot23	1
D214	DIODE	MURS480ET3G	/	/	DO214	1
D215	DIODE	MURS480ET3G	/	/	DO214	1
D2_1	DIODE	BAT54CW	/	/	sot23	1
D2_2	DIODE	BAT54CW	/	/	sot23	1
D5_1	DIODE	BAT54CW	/	/	sot23	1
D6_1	DIODE	BAT54AW	/	/	sot23	1
D6_2	DIODE	BAT54AW	/	/	sot23	1
D7	DIODE	1N4148	/	/	300mil	1
D9	DIODE	1N4148	/	/	300mil	1
DLED1	D	C503B-GBN or GBS	/	green	5mm	1
DLED2	D	C503B-ABN or ABS	/	amber	5mm	1
DLED3	D	C503B-RBN or RBS	/	red	5mm	1
F200	FUSE	mA	/	/	200mil	1
FBLIGHT	CONNECTOR_1	unknown	unknown	unknown	SIP1N	1
P200	VARIABLE_RESISTOR	1K	20%	P11VK only if P201 unused	2x200mil	1
P201	VARIABLE_RESISTOR	1K	20%	Bourns 91 only if P200 not used	2x100mil	1
Q200	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
Q201	NPN_TRANSISTOR	DXT651	/	/	sot89-3	1
R1	RESISTOR	10K	2%	/	1206	1
R10	RESISTOR	100K	1%	/	1206	1
R11	RESISTOR	140K	1%	/	1206	1
R12	RESISTOR	1K	2%	/	1206	1
R13	RESISTOR	140K	2%	/	1206	1
